scenario_id,model,basis,history_window_years,history_start_ay,failure_type,failure_message,failure_count
long_emerging_no_break,chain_ladder,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_emerging_no_break,chain_ladder,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_emerging_no_break,chain_ladder,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_emerging_no_break,inflation_adjusted_chain_ladder,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_emerging_no_break,inflation_adjusted_chain_ladder,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_emerging_no_break,inflation_adjusted_chain_ladder,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_emerging_no_break,inflation_adjusted_chain_ladder,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_emerging_no_break,inflation_adjusted_chain_ladder,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_emerging_no_break,inflation_adjusted_chain_ladder,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_emerging_no_break,inflation_adjusted_chain_ladder,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_emerging_no_break,regularized_poisson,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_emerging_no_break,regularized_poisson,ceded,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_emerging_no_break,regularized_poisson,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_emerging_no_break,regularized_poisson,gross,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_emerging_no_break,regularized_poisson_break_interaction,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_emerging_no_break,regularized_poisson_break_interaction,ceded,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_emerging_no_break,regularized_poisson_break_interaction,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_emerging_no_break,regularized_poisson_break_interaction,gross,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_emerging_no_break,regularized_tweedie,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_emerging_no_break,regularized_tweedie,ceded,7,2018,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,1
long_emerging_no_break,regularized_tweedie,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_emerging_no_break,regularized_tweedie,gross,7,2018,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,1
long_shock_break,cashflow_uplift,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,cashflow_uplift,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,cashflow_uplift,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,cashflow_uplift,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,cashflow_uplift,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_shock_break,cashflow_uplift,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_shock_break,cashflow_uplift,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_shock_break,chain_ladder,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,chain_ladder,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,chain_ladder,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,chain_ladder,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,chain_ladder,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_shock_break,chain_ladder,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_shock_break,chain_ladder,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_shock_break,inflation_adjusted_chain_ladder,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,inflation_adjusted_chain_ladder,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,inflation_adjusted_chain_ladder,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,inflation_adjusted_chain_ladder,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_break,inflation_adjusted_chain_ladder,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_shock_break,inflation_adjusted_chain_ladder,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_shock_break,inflation_adjusted_chain_ladder,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_shock_break,regularized_poisson,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_break,regularized_poisson,ceded,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_shock_break,regularized_poisson,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_break,regularized_poisson,gross,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_shock_break,regularized_poisson_break_interaction,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_break,regularized_poisson_break_interaction,ceded,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_shock_break,regularized_poisson_break_interaction,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_break,regularized_poisson_break_interaction,gross,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_shock_break,regularized_tweedie,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_break,regularized_tweedie,ceded,7,2018,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,1
long_shock_break,regularized_tweedie,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_break,regularized_tweedie,gross,7,2018,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,1
long_shock_no_break,cashflow_uplift,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,cashflow_uplift,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,cashflow_uplift,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,cashflow_uplift,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,cashflow_uplift,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_shock_no_break,cashflow_uplift,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_shock_no_break,cashflow_uplift,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_shock_no_break,chain_ladder,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,chain_ladder,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,chain_ladder,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,chain_ladder,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,chain_ladder,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_shock_no_break,chain_ladder,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_shock_no_break,chain_ladder,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_shock_no_break,inflation_adjusted_chain_ladder,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,inflation_adjusted_chain_ladder,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,inflation_adjusted_chain_ladder,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,inflation_adjusted_chain_ladder,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_shock_no_break,inflation_adjusted_chain_ladder,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_shock_no_break,inflation_adjusted_chain_ladder,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_shock_no_break,inflation_adjusted_chain_ladder,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_shock_no_break,regularized_poisson,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_no_break,regularized_poisson,ceded,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_shock_no_break,regularized_poisson,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_no_break,regularized_poisson,gross,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_shock_no_break,regularized_poisson_break_interaction,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_no_break,regularized_poisson_break_interaction,ceded,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_shock_no_break,regularized_poisson_break_interaction,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_no_break,regularized_poisson_break_interaction,gross,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_shock_no_break,regularized_tweedie,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_no_break,regularized_tweedie,ceded,7,2018,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,1
long_shock_no_break,regularized_tweedie,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_shock_no_break,regularized_tweedie,gross,7,2018,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,1
long_stable_break,cashflow_uplift,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,cashflow_uplift,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,cashflow_uplift,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,cashflow_uplift,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,cashflow_uplift,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_stable_break,cashflow_uplift,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_stable_break,cashflow_uplift,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_stable_break,chain_ladder,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,chain_ladder,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,chain_ladder,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,chain_ladder,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,chain_ladder,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_stable_break,chain_ladder,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_stable_break,chain_ladder,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_stable_break,inflation_adjusted_chain_ladder,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,inflation_adjusted_chain_ladder,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,inflation_adjusted_chain_ladder,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,inflation_adjusted_chain_ladder,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_break,inflation_adjusted_chain_ladder,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_stable_break,inflation_adjusted_chain_ladder,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_stable_break,inflation_adjusted_chain_ladder,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_stable_break,regularized_poisson,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_break,regularized_poisson,ceded,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_stable_break,regularized_poisson,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_break,regularized_poisson,gross,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_stable_break,regularized_poisson_break_interaction,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_break,regularized_poisson_break_interaction,ceded,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_stable_break,regularized_poisson_break_interaction,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_break,regularized_poisson_break_interaction,gross,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_stable_break,regularized_tweedie,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_break,regularized_tweedie,ceded,7,2018,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,1
long_stable_break,regularized_tweedie,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_break,regularized_tweedie,gross,7,2018,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,1
long_stable_no_break,cashflow_uplift,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,cashflow_uplift,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,cashflow_uplift,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,cashflow_uplift,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,cashflow_uplift,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_stable_no_break,cashflow_uplift,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_stable_no_break,cashflow_uplift,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_stable_no_break,chain_ladder,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,chain_ladder,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,chain_ladder,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,chain_ladder,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,chain_ladder,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_stable_no_break,chain_ladder,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_stable_no_break,chain_ladder,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_stable_no_break,inflation_adjusted_chain_ladder,ceded,5,2020,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,inflation_adjusted_chain_ladder,ceded,7,2018,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,inflation_adjusted_chain_ladder,ceded,10,2015,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,inflation_adjusted_chain_ladder,ceded,15,2010,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,1
long_stable_no_break,inflation_adjusted_chain_ladder,gross,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
long_stable_no_break,inflation_adjusted_chain_ladder,gross,7,2018,insufficient_development_history,ValueError: No paired observations are available for development 7 to 8.,1
long_stable_no_break,inflation_adjusted_chain_ladder,gross,10,2015,insufficient_development_history,ValueError: No paired observations are available for development 10 to 11.,1
long_stable_no_break,regularized_poisson,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_no_break,regularized_poisson,ceded,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_stable_no_break,regularized_poisson,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_no_break,regularized_poisson,gross,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_stable_no_break,regularized_poisson_break_interaction,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_no_break,regularized_poisson_break_interaction,ceded,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_stable_no_break,regularized_poisson_break_interaction,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_no_break,regularized_poisson_break_interaction,gross,7,2018,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,1
long_stable_no_break,regularized_tweedie,ceded,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_no_break,regularized_tweedie,ceded,7,2018,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,1
long_stable_no_break,regularized_tweedie,gross,5,2020,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,1
long_stable_no_break,regularized_tweedie,gross,7,2018,insufficient_historical_validation,ValueError: No Tweedie power-alpha pair produced enough successful rolling validation folds.,1
short_emerging_no_break,cashflow_uplift,ceded,5,2020,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,1
